
************************************************
*  Welcome to the seventh lesson of the RL-Lab!   *
*               (Deep Q-Network)                 *
**************************************************


Training torch model...

episode 136: mean reward: 60.78, eps: 0.02
episode 137: mean reward: 61.21, eps: 0.01
episode 138: mean reward: 62.17, eps: 0.01
episode 139: mean reward: 62.90, eps: 0.01
episode 140: mean reward: 63.84, eps: 0.01
episode 141: mean reward: 64.81, eps: 0.01
episode 142: mean reward: 65.05, eps: 0.01
episode 143: mean reward: 65.26, eps: 0.01
episode 144: mean reward: 68.26, eps: 0.01
episode 145: mean reward: 68.50, eps: 0.01
episode 146: mean reward: 68.66, eps: 0.01
episode 147: mean reward: 69.11, eps: 0.01
episode 148: mean reward: 69.86, eps: 0.01
episode 149: mean reward: 71.05, eps: 0.01
episode  0: mean reward: 42.00, eps: 0.97
episode  1: mean reward: 30.50, eps: 0.94
episode  2: mean reward: 25.00, eps: 0.91
episode  3: mean reward: 22.25, eps: 0.89
episode  4: mean reward: 20.60, eps: 0.86
episode  5: mean reward: 18.83, eps: 0.83
episode  6: mean reward: 18.86, eps: 0.81
episode  7: mean reward: 19.12, eps: 0.78
episode  8: mean reward: 20.67, eps: 0.76
episode  9: mean reward: 19.80, eps: 0.74
episode 10: mean reward: 20.27, eps: 0.72
episode 11: mean reward: 20.00, eps: 0.69
episode 12: mean reward: 19.69, eps: 0.67
episode 13: mean reward: 22.36, eps: 0.65
episode 14: mean reward: 21.53, eps: 0.63
episode 15: mean reward: 21.50, eps: 0.61
episode 16: mean reward: 21.12, eps: 0.60
episode 17: mean reward: 21.00, eps: 0.58
episode 18: mean reward: 20.37, eps: 0.56
episode 19: mean reward: 20.55, eps: 0.54
episode 20: mean reward: 20.29, eps: 0.53
episode 21: mean reward: 19.91, eps: 0.51
episode 22: mean reward: 19.70, eps: 0.50
episode 23: mean reward: 19.29, eps: 0.48
episode 24: mean reward: 18.84, eps: 0.47
episode 25: mean reward: 18.58, eps: 0.45
episode 26: mean reward: 18.37, eps: 0.44
episode 27: mean reward: 18.11, eps: 0.43
episode 28: mean reward: 17.79, eps: 0.41
episode 29: mean reward: 17.53, eps: 0.40
episode 30: mean reward: 17.42, eps: 0.39
episode 31: mean reward: 17.25, eps: 0.38
episode 32: mean reward: 17.03, eps: 0.37
episode 33: mean reward: 16.79, eps: 0.36
episode 34: mean reward: 16.66, eps: 0.34
episode 35: mean reward: 16.64, eps: 0.33
episode 36: mean reward: 16.46, eps: 0.32
episode 37: mean reward: 16.32, eps: 0.31
episode 38: mean reward: 16.10, eps: 0.30
episode 39: mean reward: 15.97, eps: 0.30
episode 40: mean reward: 15.80, eps: 0.29
episode 41: mean reward: 15.71, eps: 0.28
episode 42: mean reward: 15.60, eps: 0.27
episode 43: mean reward: 15.50, eps: 0.26
episode 44: mean reward: 15.40, eps: 0.25
episode 45: mean reward: 15.35, eps: 0.25
episode 46: mean reward: 15.32, eps: 0.24
episode 47: mean reward: 15.21, eps: 0.23
episode 48: mean reward: 15.27, eps: 0.22
episode 49: mean reward: 15.18, eps: 0.22
episode 50: mean reward: 15.08, eps: 0.21
episode 51: mean reward: 14.98, eps: 0.21
episode 52: mean reward: 15.04, eps: 0.20
episode 53: mean reward: 15.00, eps: 0.19
episode 54: mean reward: 14.91, eps: 0.19
episode 55: mean reward: 14.86, eps: 0.18
episode 56: mean reward: 14.81, eps: 0.18
episode 57: mean reward: 14.72, eps: 0.17
episode 58: mean reward: 14.64, eps: 0.17
episode 59: mean reward: 14.72, eps: 0.16
episode 60: mean reward: 14.66, eps: 0.16
episode 61: mean reward: 14.56, eps: 0.15
episode 62: mean reward: 14.51, eps: 0.15
episode 63: mean reward: 14.92, eps: 0.14
episode 64: mean reward: 15.12, eps: 0.14
episode 65: mean reward: 15.26, eps: 0.13
episode 66: mean reward: 15.33, eps: 0.13
episode 67: mean reward: 15.35, eps: 0.13
episode 68: mean reward: 15.35, eps: 0.12
episode 69: mean reward: 15.33, eps: 0.12
episode 70: mean reward: 15.31, eps: 0.12
episode 71: mean reward: 15.32, eps: 0.11
episode 72: mean reward: 15.38, eps: 0.11
episode 73: mean reward: 15.39, eps: 0.10
episode 74: mean reward: 15.35, eps: 0.10
episode 75: mean reward: 15.32, eps: 0.10
episode 76: mean reward: 15.38, eps: 0.10
episode 77: mean reward: 15.42, eps: 0.09
episode 78: mean reward: 15.48, eps: 0.09
episode 79: mean reward: 15.53, eps: 0.09
episode 80: mean reward: 15.68, eps: 0.08
episode 81: mean reward: 15.74, eps: 0.08
episode 82: mean reward: 15.81, eps: 0.08
episode 83: mean reward: 15.96, eps: 0.08
episode 84: mean reward: 16.13, eps: 0.08
episode 85: mean reward: 16.21, eps: 0.07
episode 86: mean reward: 16.31, eps: 0.07
episode 87: mean reward: 16.35, eps: 0.07
episode 88: mean reward: 16.42, eps: 0.07
episode 89: mean reward: 16.54, eps: 0.06
episode 90: mean reward: 16.77, eps: 0.06
episode 91: mean reward: 16.87, eps: 0.06
episode 92: mean reward: 17.13, eps: 0.06
episode 93: mean reward: 17.22, eps: 0.06
episode 94: mean reward: 17.26, eps: 0.06
episode 95: mean reward: 17.32, eps: 0.05
episode 96: mean reward: 17.34, eps: 0.05
